vehicle_id,make,model,variant,year,body_type,drivetrain,battery_chemistry,usable_battery_kwh,ideal_consumption_wh_km,regen_efficiency,weight_kg,max_dc_charge_kw,temp_penalty_factor,charge_curve_hint,route_type,terrain_type,climate_type,distance_km,speed_kmh,grade_pct,temp_c,start_soc_pct,hvac_override_kw,base_consumption_kwh,speed_delta_kwh,slope_kwh,regen_kwh,hvac_kwh,temp_penalty_kwh,gross_consumption_kwh,net_consumption_kwh,estimated_wh_km,target_wh_km,target_energy_kwh,end_soc_pct,below_reserve
audi_q4_etron_40,Audi,Q4 e-tron,40,2024,SUV,RWD,NMC,76.6,166.0,0.68,2135.0,135.0,0.008,tapered_nmc,mixed,flat,cold,10.16,86.1,0.44,7.5,80.96,1.66,1.6866,-0.1224,0.2601,0.0,0.1959,0.1687,2.1888,2.1888,215.44,210.352,2.1372,78.1,0
audi_q4_etron_40,Audi,Q4 e-tron,40,2024,SUV,RWD,NMC,76.6,166.0,0.68,2135.0,135.0,0.008,tapered_nmc,mixed,rolling,mild,17.64,88.1,0.32,20.9,62.43,1.3,2.9282,-0.1043,0.3284,0.0,0.2603,0.0,3.4126,3.4126,193.46,191.419,3.3766,57.97,0
tesla_model_y_rwd,Tesla,Model Y,RWD,2024,SUV,RWD,LFP,57.5,157.0,0.7,1979.0,250.0,0.007,flat_lfp,city,rolling,hot,16.52,34.6,-2.07,33.5,26.3,2.29,2.5936,-2.083,0.0,1.2909,1.0934,0.0,1.604,1.8155,109.9,111.984,1.85,23.14,0
volvo_ex40_twin,Volvo,EX40,Twin Motor AWD,2024,SUV,AWD,NMC,79.0,195.0,0.68,2270.0,150.0,0.009,tapered_nmc,mixed,flat,mild,57.34,58.3,0.06,18.5,97.15,2.05,11.1813,-5.8367,0.2128,0.0,2.0162,0.1509,7.9564,7.9564,138.76,140.885,8.0784,87.08,0
chevrolet_equinox_ev,Chevrolet,Equinox EV,LT RWD,2024,SUV,RWD,NMC,78.0,175.0,0.68,2056.0,150.0,0.008,tapered_nmc,city,flat,hot,13.7,42.5,0.04,26.8,37.98,1.54,2.3975,-1.7279,0.0307,0.0,0.4964,0.0,1.1967,1.6782,122.5,123.149,1.6871,35.83,0
byd_han,BYD,Han,EV AWD,2024,Sedan,AWD,LFP,82.0,161.0,0.68,2320.0,120.0,0.007,flat_lfp,mixed,flat,mild,12.94,53.4,-0.94,14.6,61.13,1.49,2.0833,-1.2256,0.0,0.5229,0.3611,0.0788,1.3365,1.4583,112.7,112.7,1.4583,59.35,0
bmw_i4_edrive40,BMW,i4,eDrive40,2024,Sedan,RWD,NMC,80.7,157.0,0.71,2050.0,205.0,0.008,tapered_nmc,city,hilly_down,mild,10.51,56.4,-2.56,12.7,27.75,1.4,1.6501,-0.9045,0.0,1.0671,0.2609,0.0964,1.1028,1.155,109.9,109.9,1.155,26.32,0
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,highway,flat,mild,126.93,93.0,0.46,21.2,28.74,1.43,22.3397,1.2806,3.4606,0.0,1.9517,0.0,29.0326,29.0326,228.73,229.228,29.0959,0.0,1
byd_seal_lr,BYD,Seal,Long Range RWD,2024,Sedan,RWD,LFP,80.0,153.0,0.68,2150.0,150.0,0.007,flat_lfp,mixed,flat,mild,56.16,72.2,0.72,17.7,24.05,1.8,8.5925,-2.6848,2.369,0.0,1.4001,0.1383,9.8152,9.8152,174.77,178.294,10.013,11.78,0
tesla_model_3_rwd,Tesla,Model 3,RWD,2024,Sedan,RWD,LFP,57.5,139.0,0.72,1761.0,170.0,0.007,flat_lfp,highway,hilly_up,cold,102.85,100.7,3.71,-8.9,50.32,2.68,14.2961,3.0083,18.3107,0.0,2.7372,2.8921,41.2444,41.2444,401.02,395.371,40.6639,0.0,1
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,mixed,rolling,mild,49.17,83.1,-0.11,12.7,37.42,1.34,8.6539,-1.0974,0.0,0.2148,0.7929,0.5054,8.8548,8.64,175.72,178.205,8.7624,27.49,0
tesla_model_y_lr_awd,Tesla,Model Y,Long Range AWD,2024,SUV,AWD,NMC,75.0,179.0,0.72,2232.0,250.0,0.008,tapered_nmc,highway,flat,mild,105.43,132.6,-0.69,23.5,26.41,1.43,18.872,17.5975,0.0,3.1857,1.137,0.0,38.7346,35.5489,337.18,339.103,35.7516,0.0,1
renault_megane_ev60,Renault,Megane E-Tech,EV60,2024,Hatchback,FWD,NMC,55.0,149.0,0.68,1624.0,130.0,0.008,tapered_nmc,highway,rolling,hot,115.45,118.9,-3.68,26.2,72.59,1.4,17.202,10.415,0.0,12.7851,1.3594,0.0,28.9764,16.1913,140.25,138.705,16.0135,43.15,0
hyundai_ioniq6_lr_rwd,Hyundai,IONIQ 6,Long Range RWD,2024,Sedan,RWD,NMC,74.0,130.0,0.75,1985.0,235.0,0.008,tapered_nmc,city,hilly_up,mild,9.12,51.9,3.15,14.4,80.15,1.05,1.1856,-0.7205,1.5539,0.0,0.1845,0.0531,2.2566,2.2566,247.44,246.821,2.251,77.1,0
bmw_ix3,BMW,iX3,Impressive,2024,SUV,RWD,NMC,74.0,169.0,0.7,2185.0,150.0,0.008,tapered_nmc,highway,flat,mild,69.78,136.7,0.76,22.3,49.56,1.41,11.7928,12.2072,3.1576,0.0,0.7197,0.0,27.8774,27.8774,399.5,407.5,28.4353,11.89,0
chevrolet_equinox_ev,Chevrolet,Equinox EV,LT RWD,2024,SUV,RWD,NMC,78.0,175.0,0.68,2056.0,150.0,0.008,tapered_nmc,mixed,hilly_down,hot,36.45,83.4,-3.95,39.0,28.29,2.4,6.3788,-0.7747,0.0,5.4852,1.0489,0.0,6.653,4.4651,122.5,122.5,4.4651,22.57,0
tesla_model_3_lr_awd,Tesla,Model 3,Long Range AWD,2024,Sedan,AWD,NMC,75.0,134.0,0.74,1844.0,250.0,0.008,tapered_nmc,highway,flat,mild,61.59,107.1,0.37,21.9,60.43,1.18,8.2531,2.8398,1.1451,0.0,0.6786,0.0,13.3041,13.3041,216.01,221.3,13.6299,42.69,0
tesla_model_y_lr_awd,Tesla,Model Y,Long Range AWD,2024,SUV,AWD,NMC,75.0,179.0,0.72,2232.0,250.0,0.008,tapered_nmc,city,rolling,mild,2.06,55.8,1.1,13.7,79.3,1.69,0.3687,-0.2051,0.1378,0.0,0.0624,0.0186,0.3939,0.3939,191.2,190.37,0.3922,78.77,0
tesla_model_y_rwd,Tesla,Model Y,RWD,2024,SUV,RWD,LFP,57.5,157.0,0.7,1979.0,250.0,0.007,flat_lfp,city,hilly_down,mild,4.68,26.4,-4.97,17.7,54.38,1.33,0.7348,-0.6434,0.0,0.878,0.2358,0.0118,0.3389,0.5143,109.9,109.9,0.5143,53.49,0
tesla_model_y_lr_awd,Tesla,Model Y,Long Range AWD,2024,SUV,AWD,NMC,75.0,179.0,0.72,2232.0,250.0,0.008,tapered_nmc,highway,flat,mild,45.42,129.0,0.77,15.7,69.65,1.41,8.1302,6.8629,2.1272,0.0,0.4965,0.2797,18.4332,18.4332,405.84,416.308,18.9087,45.07,0
byd_atto3_lr,BYD,Atto 3,Extended Range,2024,SUV,FWD,LFP,58.0,157.0,0.65,1750.0,88.0,0.007,flat_lfp,highway,hilly_up,hot,33.72,126.8,3.33,39.0,84.18,2.29,5.294,4.1875,5.3547,0.0,0.609,0.0,15.4452,15.4452,458.04,466.58,15.7331,57.55,0
hyundai_ioniq6_lr_rwd,Hyundai,IONIQ 6,Long Range RWD,2024,Sedan,RWD,NMC,74.0,130.0,0.75,1985.0,235.0,0.008,tapered_nmc,city,hilly_up,mild,2.7,43.8,2.6,22.9,47.97,1.57,0.351,-0.2478,0.3797,0.0,0.0968,0.0,0.5797,0.5797,214.7,219.483,0.5926,47.19,0
byd_han,BYD,Han,EV AWD,2024,Sedan,AWD,LFP,82.0,161.0,0.68,2320.0,120.0,0.007,flat_lfp,city,flat,mild,17.56,63.7,-0.44,19.0,51.97,1.99,2.8272,-1.2562,0.0,0.3322,0.5486,0.0198,2.2035,1.979,112.7,112.945,1.9833,49.56,0
tesla_model_y_rwd,Tesla,Model Y,RWD,2024,SUV,RWD,LFP,57.5,157.0,0.7,1979.0,250.0,0.007,flat_lfp,city,hilly_down,cold,19.33,35.6,-6.4,-2.2,78.28,2.18,3.0348,-2.4076,0.0,4.6701,1.1837,0.4716,2.2825,2.1244,109.9,110.6,2.1379,74.59,0
polestar_2_lr_rwd,Polestar,2,Long Range Single Motor,2024,Fastback,RWD,NMC,79.0,157.0,0.7,2060.0,205.0,0.008,tapered_nmc,city,hilly_down,cold,2.8,42.4,-4.14,4.5,74.95,2.73,0.4396,-0.3173,0.0,0.4555,0.1803,0.0545,0.3571,0.3077,109.9,111.463,0.3121,74.56,0
byd_dolphin,BYD,Dolphin,Standard,2024,Hatchback,FWD,LFP,43.2,145.0,0.65,1490.0,60.0,0.007,flat_lfp,mixed,flat,mild,26.51,65.7,0.7,20.1,44.03,1.12,3.844,-1.5927,0.7535,0.0,0.4519,0.0,3.4566,3.4566,130.39,129.673,3.4376,36.03,0
volkswagen_id4_pro,Volkswagen,ID.4,Pro,2024,SUV,RWD,NMC,77.0,165.0,0.68,2124.0,135.0,0.008,tapered_nmc,highway,rolling,cold,129.74,109.0,1.99,-6.9,65.53,2.29,21.4071,8.2392,14.9434,0.0,2.7257,4.6068,51.9222,51.9222,400.2,408.213,52.9616,0.0,1
hyundai_ioniq5_lr_rwd,Hyundai,IONIQ 5,Long Range RWD,2024,SUV,RWD,NMC,74.0,159.0,0.72,2100.0,235.0,0.008,tapered_nmc,mixed,rolling,mild,42.74,73.2,-0.46,13.0,57.85,1.93,6.7957,-2.0128,0.0,0.81,1.1269,0.3806,6.2903,5.4803,128.22,130.497,5.5775,50.44,0
byd_atto3_lr,BYD,Atto 3,Extended Range,2024,SUV,FWD,LFP,58.0,157.0,0.65,1750.0,88.0,0.007,flat_lfp,highway,flat,mild,122.89,94.7,0.9,13.3,44.83,1.76,19.2937,1.744,5.2743,0.0,2.2839,0.9049,29.5008,29.5008,240.06,234.981,28.8768,0.0,1
tesla_model_y_lr_awd,Tesla,Model Y,Long Range AWD,2024,SUV,AWD,NMC,75.0,179.0,0.72,2232.0,250.0,0.008,tapered_nmc,city,rolling,hot,3.31,41.6,1.04,27.9,75.71,1.65,0.5925,-0.4329,0.2094,0.0,0.1313,0.0,0.5152,0.5152,155.66,153.269,0.5073,75.02,0
audi_q4_etron_40,Audi,Q4 e-tron,40,2024,SUV,RWD,NMC,76.6,166.0,0.68,2135.0,135.0,0.008,tapered_nmc,highway,hilly_down,hot,162.82,128.9,-5.8,37.1,75.67,2.07,27.0281,22.7494,0.0,37.3602,2.6147,0.0,52.3923,18.9197,116.2,116.6,18.9848,50.97,0
tesla_model_3_lr_awd,Tesla,Model 3,Long Range AWD,2024,Sedan,AWD,NMC,75.0,134.0,0.74,1844.0,250.0,0.008,tapered_nmc,mixed,hilly_up,mild,59.39,79.8,6.73,22.5,69.01,1.5,7.9583,-1.4718,20.0843,0.0,1.1164,0.0,28.5177,28.5177,480.18,480.318,28.5261,30.99,0
bmw_i4_edrive40,BMW,i4,eDrive40,2024,Sedan,RWD,NMC,80.7,157.0,0.71,2050.0,205.0,0.008,tapered_nmc,mixed,flat,hot,32.5,87.6,0.68,29.2,82.21,1.89,5.1025,-0.2291,1.2346,0.0,0.7012,0.0,6.8091,6.8091,209.51,206.232,6.7025,73.77,0
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,city,flat,mild,7.75,46.6,-0.72,13.2,75.52,1.79,1.364,-0.9185,0.0,0.2216,0.2977,0.0742,0.8174,0.9548,123.2,123.2,0.9548,74.42,0
volkswagen_id3_pro,Volkswagen,ID.3,Pro,2024,Hatchback,RWD,NMC,58.0,149.0,0.67,1809.0,135.0,0.008,tapered_nmc,mixed,rolling,cold,51.64,69.5,2.16,7.0,21.56,1.62,7.6944,-2.736,5.4985,0.0,1.2037,0.8002,12.4607,12.4607,241.3,242.396,12.5173,0.08,1
nissan_leaf_40,Nissan,Leaf,40kWh,2024,Hatchback,FWD,NMC,36.0,153.0,0.65,1543.0,50.0,0.009,tapered_nmc,city,rolling,hot,17.36,63.1,-0.65,36.2,63.69,1.78,2.6561,-1.2037,0.0,0.3084,0.4897,0.0,1.9421,1.8593,107.1,107.1,1.8593,58.53,0
byd_han,BYD,Han,EV AWD,2024,Sedan,AWD,LFP,82.0,161.0,0.68,2320.0,120.0,0.007,flat_lfp,mixed,rolling,mild,43.44,89.9,1.79,21.8,93.56,1.99,6.9938,-0.0132,4.9158,0.0,0.9616,0.0,13.2438,13.2438,304.88,305.504,13.2711,77.41,0
volkswagen_id4_pro,Volkswagen,ID.4,Pro,2024,SUV,RWD,NMC,77.0,165.0,0.68,2124.0,135.0,0.008,tapered_nmc,mixed,rolling,cold,31.43,93.3,-2.55,-5.3,46.19,2.35,5.186,0.3274,0.0,3.1544,0.7916,1.0496,7.3546,4.2002,133.64,132.337,4.1594,40.74,0
volkswagen_id4_pro,Volkswagen,ID.4,Pro,2024,SUV,RWD,NMC,77.0,165.0,0.68,2124.0,135.0,0.008,tapered_nmc,mixed,hilly_down,mild,51.75,73.5,-2.88,10.7,96.15,1.46,8.5388,-2.4871,0.0,5.8659,1.028,0.6353,7.7148,5.9771,115.5,115.5,5.9771,88.39,0
audi_q4_etron_40,Audi,Q4 e-tron,40,2024,SUV,RWD,NMC,76.6,166.0,0.68,2135.0,135.0,0.008,tapered_nmc,city,flat,mild,17.11,49.9,-0.52,16.6,29.15,1.96,2.8403,-1.7981,0.0,0.352,0.6721,0.0773,1.7914,1.9882,116.2,116.2,1.9882,26.55,0
hyundai_ioniq6_lr_rwd,Hyundai,IONIQ 6,Long Range RWD,2024,Sedan,RWD,NMC,74.0,130.0,0.75,1985.0,235.0,0.008,tapered_nmc,highway,flat,mild,142.19,95.7,0.64,23.5,28.65,1.02,18.4847,2.034,4.9224,0.0,1.5155,0.0,26.9566,26.9566,189.58,187.441,26.6522,0.0,1
renault_megane_ev60,Renault,Megane E-Tech,EV60,2024,Hatchback,FWD,NMC,55.0,149.0,0.68,1624.0,130.0,0.008,tapered_nmc,highway,rolling,hot,59.75,119.6,2.64,28.6,75.78,1.64,8.9027,5.5335,6.9806,0.0,0.8193,0.0,22.2362,22.2362,372.15,376.264,22.4818,35.35,0
tesla_model_3_lr_awd,Tesla,Model 3,Long Range AWD,2024,Sedan,AWD,NMC,75.0,134.0,0.74,1844.0,250.0,0.008,tapered_nmc,highway,rolling,cold,109.91,123.1,-3.45,1.7,21.01,2.0,14.7279,10.3544,0.0,14.0999,1.7857,2.1562,29.895,15.7951,143.71,143.626,15.7859,0.0,1
volkswagen_id3_pro,Volkswagen,ID.3,Pro,2024,Hatchback,RWD,NMC,58.0,149.0,0.67,1809.0,135.0,0.008,tapered_nmc,highway,rolling,hot,136.1,111.8,1.87,39.5,41.61,2.05,20.2789,9.0424,12.546,0.0,2.4956,0.0,44.3629,44.3629,325.96,326.707,44.4648,0.0,1
nissan_leaf_40,Nissan,Leaf,40kWh,2024,Hatchback,FWD,NMC,36.0,153.0,0.65,1543.0,50.0,0.009,tapered_nmc,mixed,hilly_up,mild,26.12,62.3,6.64,13.9,56.06,1.43,3.9964,-1.858,7.2925,0.0,0.5995,0.2194,10.2498,10.2498,392.41,394.055,10.2927,27.59,0
renault_megane_ev60,Renault,Megane E-Tech,EV60,2024,Hatchback,FWD,NMC,55.0,149.0,0.68,1624.0,130.0,0.008,tapered_nmc,mixed,flat,hot,19.09,60.6,0.6,30.1,90.43,1.96,2.8444,-1.3924,0.5069,0.0,0.6174,0.0,2.5764,2.5764,134.96,133.148,2.5418,85.75,0
tesla_model_y_rwd,Tesla,Model Y,RWD,2024,SUV,RWD,LFP,57.5,157.0,0.7,1979.0,250.0,0.007,flat_lfp,mixed,flat,mild,30.32,77.8,-0.52,16.7,76.95,1.61,4.7602,-1.0442,0.0,0.5952,0.6274,0.11,4.4535,3.8583,127.25,123.564,3.7465,70.24,0
hyundai_ioniq5_lr_rwd,Hyundai,IONIQ 5,Long Range RWD,2024,SUV,RWD,NMC,74.0,159.0,0.72,2100.0,235.0,0.008,tapered_nmc,city,rolling,mild,12.47,43.9,0.25,16.0,79.67,1.53,1.9827,-1.3976,0.1784,0.0,0.4346,0.0634,1.2616,1.3879,111.3,112.655,1.4048,77.79,0
hyundai_ioniq6_lr_rwd,Hyundai,IONIQ 6,Long Range RWD,2024,Sedan,RWD,NMC,74.0,130.0,0.75,1985.0,235.0,0.008,tapered_nmc,mixed,flat,mild,25.78,87.1,0.9,19.7,35.32,1.52,3.3514,-0.1815,1.255,0.0,0.4499,0.008,4.8829,4.8829,189.4,186.86,4.8173,28.72,0
bmw_ix3,BMW,iX3,Impressive,2024,SUV,RWD,NMC,74.0,169.0,0.7,2185.0,150.0,0.008,tapered_nmc,highway,rolling,mild,45.08,99.7,-2.18,12.5,21.13,1.67,7.6185,1.448,0.0,4.096,0.7551,0.4571,10.2787,6.1828,137.15,135.293,6.099,12.77,0
tesla_model_y_lr_awd,Tesla,Model Y,Long Range AWD,2024,SUV,AWD,NMC,75.0,179.0,0.72,2232.0,250.0,0.008,tapered_nmc,mixed,rolling,cold,53.42,74.5,2.98,0.3,57.55,2.33,9.5622,-2.6278,9.6824,0.0,1.6707,1.507,20.3883,20.3883,381.66,374.432,20.0022,30.37,0
tesla_model_y_lr_awd,Tesla,Model Y,Long Range AWD,2024,SUV,AWD,NMC,75.0,179.0,0.72,2232.0,250.0,0.008,tapered_nmc,mixed,hilly_down,cold,13.27,74.6,-3.83,2.4,32.14,2.77,2.3753,-0.6488,0.0,2.2257,0.4927,0.3344,2.6303,1.6627,125.3,128.677,1.7075,29.92,0
tesla_model_3_rwd,Tesla,Model 3,RWD,2024,Sedan,RWD,LFP,57.5,139.0,0.72,1761.0,170.0,0.007,flat_lfp,highway,flat,hot,120.95,129.5,-0.55,32.8,56.04,1.75,16.812,14.396,0.0,2.2984,1.6345,0.0,32.8425,30.5441,252.54,257.997,31.2048,2.92,1
volkswagen_id3_pro,Volkswagen,ID.3,Pro,2024,Hatchback,RWD,NMC,58.0,149.0,0.67,1809.0,135.0,0.008,tapered_nmc,mixed,rolling,mild,47.0,97.4,-2.34,13.0,72.83,1.11,7.003,1.0068,0.0,3.6324,0.5356,0.3922,8.9376,5.3052,112.88,110.671,5.2015,63.68,0
tesla_model_3_rwd,Tesla,Model 3,RWD,2024,Sedan,RWD,LFP,57.5,139.0,0.72,1761.0,170.0,0.007,flat_lfp,city,rolling,mild,10.46,26.3,-1.7,14.0,88.77,1.05,1.4539,-1.2744,0.0,0.6144,0.4176,0.0611,0.6583,1.0178,97.3,97.3,1.0178,87.0,0
hyundai_ioniq6_lr_rwd,Hyundai,IONIQ 6,Long Range RWD,2024,Sedan,RWD,NMC,74.0,130.0,0.75,1985.0,235.0,0.008,tapered_nmc,highway,rolling,mild,170.05,111.3,0.36,19.1,92.67,1.58,22.1065,9.6147,3.3114,0.0,2.414,0.1592,37.6057,37.6057,221.15,215.463,36.6395,41.85,0
byd_atto3_lr,BYD,Atto 3,Extended Range,2024,SUV,FWD,LFP,58.0,157.0,0.65,1750.0,88.0,0.007,flat_lfp,highway,rolling,hot,168.18,112.0,-0.25,29.6,52.2,1.82,26.4043,11.8899,0.0,1.3033,2.7329,0.0,41.0271,39.7238,236.2,236.767,39.8194,0.0,1
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,city,flat,mild,7.8,35.0,-0.82,23.5,86.88,1.7,1.3728,-1.0972,0.0,0.254,0.3789,0.0,0.6545,0.961,123.2,126.532,0.987,85.78,0
volvo_ex40_twin,Volvo,EX40,Twin Motor AWD,2024,SUV,AWD,NMC,79.0,195.0,0.68,2270.0,150.0,0.009,tapered_nmc,highway,flat,cold,143.44,113.5,0.3,6.5,34.52,1.81,27.9708,13.5232,2.6619,0.0,2.2875,3.3985,51.337,51.337,357.9,360.794,51.7523,0.0,1
nissan_leaf_40,Nissan,Leaf,40kWh,2024,Hatchback,FWD,NMC,36.0,153.0,0.65,1543.0,50.0,0.009,tapered_nmc,highway,rolling,mild,78.16,95.2,-2.71,15.8,59.64,1.36,11.9585,1.1982,0.0,5.7889,1.1166,0.452,14.7253,8.9363,114.33,113.647,8.8827,34.82,0
volvo_ex40_twin,Volvo,EX40,Twin Motor AWD,2024,SUV,AWD,NMC,79.0,195.0,0.68,2270.0,150.0,0.009,tapered_nmc,mixed,rolling,mild,26.16,98.5,-0.77,17.2,99.05,1.86,5.1012,0.8459,0.0,0.8473,0.494,0.1286,6.7667,5.9194,226.28,226.858,5.9346,91.56,0
volkswagen_id3_pro,Volkswagen,ID.3,Pro,2024,Hatchback,RWD,NMC,58.0,149.0,0.67,1809.0,135.0,0.008,tapered_nmc,city,rolling,mild,10.97,42.7,-3.59,13.7,30.48,1.2,1.6345,-1.1744,0.0,1.3007,0.3083,0.0824,0.8508,1.1442,104.3,106.683,1.1703,28.51,0
nissan_leaf_40,Nissan,Leaf,40kWh,2024,Hatchback,FWD,NMC,36.0,153.0,0.65,1543.0,50.0,0.009,tapered_nmc,city,hilly_down,mild,6.31,31.3,-3.97,17.7,27.46,1.59,0.9654,-0.8051,0.0,0.6846,0.3205,0.02,0.5008,0.6758,107.1,109.753,0.6925,25.58,0
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,highway,rolling,cold,169.9,104.6,1.64,-2.5,58.6,2.37,29.9024,8.7074,16.5144,0.0,3.8496,5.3824,64.3562,64.3562,378.79,377.808,64.1896,0.0,1
byd_seal_lr,BYD,Seal,Long Range RWD,2024,Sedan,RWD,LFP,80.0,153.0,0.68,2150.0,150.0,0.007,flat_lfp,mixed,hilly_down,mild,53.97,93.2,-5.48,21.1,53.2,1.75,8.2574,0.5053,0.0,11.7828,1.0134,0.0,9.7761,5.7802,107.1,107.15,5.7829,45.97,0
tesla_model_y_rwd,Tesla,Model Y,RWD,2024,SUV,RWD,LFP,57.5,157.0,0.7,1979.0,250.0,0.007,flat_lfp,mixed,flat,mild,59.95,74.5,-0.7,17.5,47.61,1.69,9.4122,-2.5865,0.0,1.5842,1.3599,0.1647,8.3503,6.7661,112.86,113.154,6.7836,35.84,0
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,highway,hilly_down,hot,65.82,109.1,-2.29,31.2,45.45,2.08,11.5843,4.4836,0.0,5.9854,1.2549,0.0,17.3228,11.3374,172.25,176.523,11.6187,32.42,0
volkswagen_id4_pro,Volkswagen,ID.4,Pro,2024,SUV,RWD,NMC,77.0,165.0,0.68,2124.0,135.0,0.008,tapered_nmc,mixed,rolling,hot,59.04,74.8,-3.7,32.5,67.21,2.4,9.7416,-2.6286,0.0,8.5976,1.8943,0.0,9.0073,6.8191,115.5,118.093,6.9722,58.35,0
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,city,hilly_down,cold,4.59,59.8,-1.67,-8.7,82.52,2.12,0.8078,-0.4047,0.0,0.3044,0.1627,0.1855,0.7514,0.5655,123.2,124.111,0.5697,81.87,0
